Date,Close
3/12/2018,1.12
4/12/2018,1.09
5/12/2018,1.06
6/12/2018,1.05
7/12/2018,1.04
10/12/2018,1
11/12/2018,1.02
12/12/2018,1.03
13/12/2018,1.05
14/12/2018,1.05
17/12/2018,1.05
18/12/2018,1.06
19/12/2018,1.04
20/12/2018,1.04
21/12/2018,1.03
24/12/2018,1.03
27/12/2018,1.07
28/12/2018,1.07
31/12/2018,1.09
2/01/2019,1.1
3/01/2019,1.08
4/01/2019,1.06
7/01/2019,1.08
8/01/2019,1.06
9/01/2019,1.08
10/01/2019,1.06
11/01/2019,1.07
14/01/2019,1.07
15/01/2019,1.08
16/01/2019,1.09
17/01/2019,1.09
18/01/2019,1.14
21/01/2019,1.17
22/01/2019,1.15
23/01/2019,1.13
24/01/2019,1.17
25/01/2019,1.17
29/01/2019,1.17
30/01/2019,1.14
31/01/2019,1.15
1/02/2019,1.22
4/02/2019,1.2
5/02/2019,1.22
6/02/2019,1.22
7/02/2019,1.22
8/02/2019,1.21
11/02/2019,1.19
12/02/2019,1.27
13/02/2019,1.27
14/02/2019,1.3
15/02/2019,1.36
18/02/2019,1.43
19/02/2019,1.35
20/02/2019,1.29
21/02/2019,1.39
22/02/2019,1.44
25/02/2019,1.5
26/02/2019,1.58
27/02/2019,1.55
28/02/2019,1.55
1/03/2019,1.6
4/03/2019,1.77
5/03/2019,1.72
6/03/2019,1.7
7/03/2019,1.69
8/03/2019,1.64
11/03/2019,1.63
12/03/2019,1.64
13/03/2019,1.66
14/03/2019,1.66
15/03/2019,1.66
18/03/2019,1.7
19/03/2019,1.8
20/03/2019,1.86
21/03/2019,1.73
22/03/2019,1.75
25/03/2019,1.68
26/03/2019,1.7
27/03/2019,1.65
28/03/2019,1.64
29/03/2019,1.71
1/04/2019,1.8
2/04/2019,1.87
3/04/2019,1.91
4/04/2019,1.94
5/04/2019,2.05
8/04/2019,2.05
9/04/2019,2.04
10/04/2019,2.02
11/04/2019,2.15
12/04/2019,2.4
15/04/2019,2.7
16/04/2019,2.5
17/04/2019,2.55
18/04/2019,2.39
23/04/2019,2.29
24/04/2019,2.49
26/04/2019,2.48
29/04/2019,2.89
30/04/2019,3.06
1/05/2019,3.42
2/05/2019,3.44
3/05/2019,3.5
6/05/2019,3.32
7/05/2019,3.5
8/05/2019,3.38
9/05/2019,3.3
10/05/2019,3.31
13/05/2019,3.33
14/05/2019,3.4
15/05/2019,3.39
16/05/2019,3.48
17/05/2019,3.52
20/05/2019,3.67
21/05/2019,3.88
22/05/2019,3.79
23/05/2019,3.72
24/05/2019,3.5
27/05/2019,3.44
28/05/2019,3.47
29/05/2019,3.37
30/05/2019,3.22
31/05/2019,3.2
3/06/2019,2.91
4/06/2019,2.98
5/06/2019,3.16
6/06/2019,2.97
7/06/2019,3.03
11/06/2019,3.14
12/06/2019,3.03
13/06/2019,2.87
14/06/2019,2.95
17/06/2019,2.87
18/06/2019,2.99
19/06/2019,3.04
20/06/2019,3.27
21/06/2019,3.13
24/06/2019,3.01
25/06/2019,3.03
26/06/2019,3.18
27/06/2019,3.34
28/06/2019,3.31
1/07/2019,3.1
2/07/2019,3.11
3/07/2019,3.07
4/07/2019,3.11
5/07/2019,3.15
8/07/2019,3.17
9/07/2019,3.2
10/07/2019,3.14
11/07/2019,3.11
12/07/2019,3.05
15/07/2019,3.05
16/07/2019,3.06
17/07/2019,3.05
18/07/2019,3.15
19/07/2019,3.08
22/07/2019,3.05
23/07/2019,3.18
24/07/2019,3.47
25/07/2019,3.31
26/07/2019,3.36
29/07/2019,3.45
30/07/2019,3.38
31/07/2019,3.26
1/08/2019,3.29
2/08/2019,3.33
5/08/2019,3
